objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders: Cities Anniversary Pack","231168","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757815","6.16077","7.78567","2.2308","0","4960","thing","7 Wonders: Cities Anniversary Pack","2","8","40","40","40","2017","3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders: Leaders","92539","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757772","7.47063","7.81627","2.2751","0","36887","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders: Leaders – Louis","127838","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757777","5.91274","6.94307","1.9535","0","4875","thing","7 Wonders: Leaders – Louis","2","7","40","40","40","2012","2,3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders: Wonder Pack","133993","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757797","6.96356","7.58951","2.2579","0","18168","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Above and Below","172818","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720213","7.07928","7.34776","2.5152","408","26825","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Advanced Mastermind","3874","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","134325086","5.60456","5.95674","2.2833","8876","1895","thing","Ultimate Mastermind","2","2","10","10","10","2005","2","2","6+","No necessary in-game text","","","","","","standalone","","Pressman Toy Corp.","English","2005","Pressman edition 2005"
"Age of Galaxy","330950","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109713528","6.33702","7.59789","3.1429","1712","4511","thing","Age of Galaxy","1","4","60","60","45","2022","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Agricola","31260","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109751258","7.7307","7.86136","3.6348","61","88911","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Agricola: All Creatures Big and Small","119890","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720079","7.05045","7.32758","2.3487","437","20561","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Agricola: Farmers of the Moor","43018","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","136472035","7.31453","8.04885","3.5601","0","15373","thing","Agricola: Farmers of the Moor","1","5","200","200","100","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Air, Land, & Sea: Spies, Lies, & Supplies","358981","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007328","6.37989","7.7848","1.7941","1600","4969","thing","Air, Land, & Sea: Spies, Lies, & Supplies","2","4","30","30","15","2022","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Amerigo","137408","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720219","6.92093","7.43556","2.9687","586","7932","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ancient Sands","194142","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717372","0","7.375","1","0","20","thing","Ancient Sands","2","5","30","30","10","0","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Android: Infiltration","118063","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","131364562","6.10398","6.50713","2.1008","2580","5309","thing","Android: Infiltration","2","6","45","45","30","2012","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Animal Upon Animal: Christmas Edition","304821","5","12","0","1","0","0","0","0","0","0","0","3","","","","","","128739005","5.62665","7.05453","1","7953","603","thing","Animal Upon Animal: Christmas Edition","2","4","20","20","20","2020","2,3,4","2,4","","","","","","","","standalone","","","","",""
"ANTS","446699","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136542751","5.56933","7.88941","3.9091","11025","260","thing","ANTS","2","4","90","90","90","2025","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Arboretum","140934","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109746725","7.07079","7.25553","2.1146","418","41688","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Arcana Rising","309408","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757716","5.88649","6.82597","2.125","3864","2077","thing","Arcana Rising","1","6","60","60","20","2022","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Arcs","359871","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","129388613","7.56749","8.04923","3.427","107","23348","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128944763","6.49285","8.55369","3.2353","0","8856","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Arkham Horror: The Card Game","205637","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720099","7.89816","8.12632","3.5622","32","81787","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arkham Horror: The Card Game – The Path to Carcosa: Expansion","225563","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","109720105","6.96974","8.71714","3.5172","0","12515","thing","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Artisans of Splendent Vale","342062","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","129995770","5.81166","7.74189","2.6667","4526","1436","thing","Artisans of Splendent Vale","2","4","1200","1200","45","2022","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Azul: Queen's Garden","346965","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720186","6.85645","7.44601","2.922","670","12959","thing","Azul: Queen's Garden","2","4","60","60","45","2021","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Barbecubes","393114","7","11","0","1","0","0","0","0","0","0","0","3","","","","","","130606386","5.71289","6.91308","1.0769","5862","1666","thing","Barbecubes","2","6","15","15","3","2025","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Battleship","2425","3","5","0","1","0","0","0","0","0","0","0","3","","","","","","130579817","4.79151","4.74459","1.2011","29387","20423","thing","Battleship","2","2","30","30","30","2016","2","2","6+","No necessary in-game text","","","","","","standalone","","Hasbro","English","2016","Hasbro English edition 2016"
"Battlestar Galactica: The Board Game","37111","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","109717178","7.52989","7.72986","3.2507","118","40245","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Battlestar Galactica: The Board Game – Pegasus Expansion","43539","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717185","7.16758","7.87769","3.3131","0","13930","thing","Battlestar Galactica: The Board Game – Pegasus Expansion","3","7","180","180","120","2009","4,5,6,7","5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Bazaar","287","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681438","5.95411","6.52481","2.0278","3382","3056","thing","Bazaar","2","6","45","45","45","1987","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Discovery Toys","English","1987","English third edition"
"Bear Raid","333981","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","109757719","5.89038","6.94273","2.8846","3839","1841","thing","Bear Raid","3","6","60","60","60","2022","3,4,5,6","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Beaver House","435759","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135931785","0","6.85","1","0","10","thing","Beaver House","2","4","20","20","20","2025","","","","","","","","","","standalone","","","","",""
"Bivouac","301946","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","128762883","5.51821","7.01286","2.5","19235","138","thing","Bivouac","2","4","90","90","40","2021","2,3","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Black Forest","420805","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","130138560","6.55019","7.59539","3.178","1171","4684","thing","Black Forest","1","4","120","120","60","2024","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Blackjack","10816","3","1","0","0","0","0","0","0","0","0","0","3","","","","","","129788114","5.09373","4.78878","1.4491","29368","891","thing","Blackjack","2","10","30","30","30","1700","2,3,4,5,6,7,8","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Blokus 3D","6411","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","130137696","6.30907","6.77467","1.75","1791","5427","thing","Blokus 3D","2","4","20","20","15","2003","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"The Blood of an Englishman","206504","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717173","5.90476","6.53076","1.8333","3726","3091","thing","The Blood of an Englishman","2","2","30","30","20","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Blood on the Clocktower","240980","10","8","0","1","0","0","0","0","0","0","0","3","","","","","","109746825","7.65142","8.36702","3.044","83","9448","thing","Blood on the Clocktower","6","21","120","120","30","2022","7,8,9,10,11,12,13,14,15,16","9,10,11,12","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Blue Lagoon","244331","8","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995628","6.7045","7.21087","2.0307","890","7954","thing","Blue Lagoon","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bohnanza","11","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","131946034","6.95709","7.07539","1.6681","540","79965","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bomb Busters","413246","8","5","0","0","0","0","0","0","0","0","0","3","","","","","","135007290","7.39414","8.04221","1.9444","177","14870","thing","Bomb Busters","2","5","30","30","30","2024","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"boop.","355433","9","27","0","1","0","0","0","0","0","0","0","3","","","","","","130138528","6.48486","7.05894","1.375","1319","7637","thing","boop.","2","2","30","30","20","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Box One","323255","4","0","0","0","0","0","0","0","1","0","0","3","","","","","","109746715","6.28329","7.71306","2","1872","2887","thing","Box One","1","1","240","240","180","2020","1","1","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","9","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995601","8.4","8.57271","3.8671","1","77941","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Brass: Lancashire","28720","10","1","0","0","0","0","0","0","0","0","0","3","","","","","","136102822","7.96058","8.19822","3.8504","20","34875","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Calico","283155","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109746709","7.25529","7.49444","2.1944","257","39345","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Call to Adventure: The Stormlight Archive","266993","3","1","0","1","0","0","0","0","0","0","0","3","","","","","","109720207","5.94646","6.95785","1.9474","3427","4272","thing","Call to Adventure: The Stormlight Archive","1","4","60","60","30","2020","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Can't Stop","41","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007312","6.77932","6.93735","1.1426","772","21290","thing","Can't Stop","2","4","30","30","30","1980","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Candy Land","5048","2","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482226","3.85691","3.21848","1.1512","29404","8285","thing","Candy Land","2","4","30","30","30","1949","2,3,4","4","3–6","No necessary in-game text","","","","","","standalone","","","","",""
"Canvas","290236","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","131512355","6.92858","7.20854","1.7227","576","30050","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Captain Sonar","171131","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757763","7.29352","7.50512","2.1995","236","32863","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Carcassonne Big Box","142057","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720116","6.20197","7.5615","2.2703","0","3837","thing","Carcassonne Big Box","2","6","45","45","35","2006","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Cartographers","263918","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","109720500","7.40007","7.56536","1.8881","171","59416","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cartographers Heroes","315767","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","136102838","7.03921","7.72581","1.9802","444","15509","thing","Cartographers Heroes","1","100","45","45","30","2021","1,2,3,4,5,6,7,8,9,10","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cartographers: Map Pack 1 – Nebblis: Plane of Flame","319272","9","0","0","0","0","0","0","0","0","0","0","3","","","","","","136102840","6.01155","7.97723","1.8333","0","4735","thing","Cartographers: Map Pack 1 – Nebblis: Plane of Flame","1","75","45","45","30","2021","1","1","","","","","","","","expansion","","","","",""
"The Castles of Burgundy","84876","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007307","8.02422","8.15302","2.9733","16","81989","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Cat in the Box: Deluxe Edition","345972","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","128475845","7.12412","7.46281","2.0409","362","22815","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Catapult Feud","310789","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","117123022","6.14911","7.00115","1.0698","2379","5096","thing","Catapult Feud","2","2","30","30","20","2021","2","2","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Cauldron Quest","175496","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681457","5.54573","6.1959","1.1429","13420","641","thing","Cauldron Quest","2","4","20","0","20","2015","2,3,4","2,3","5–12","No necessary in-game text","","","","","","standalone","","Peaceable Kingdom","English","2015","English edition"
"Caverna: The Cave Farmers","102794","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","129952767","7.74077","7.92871","3.7751","58","47497","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Century: Golem Edition","232832","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995784","7.23525","7.58145","1.7189","271","20962","thing","Century: Golem Edition","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Challengers!","359970","7","11","0","0","0","0","0","0","0","0","0","3","","","","","","129995634","6.66267","7.07184","1.8089","959","10464","thing","Challengers!","1","8","45","45","45","2022","2,4,6,8","4,6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Chameleon","227072","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","133682870","6.16837","6.52187","1.0568","2296","14003","thing","The Chameleon","3","8","15","15","15","2017","4,5,6,7,8","6,7","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Chaos in the Old World","43111","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719965","7.34457","7.65989","3.1977","208","16352","thing","Chaos in the Old World","3","4","120","120","60","2009","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Chaos in the Old World: The Horned Rat Expansion","95619","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719970","6.83475","8.03565","3.25","0","6362","thing","Chaos in the Old World: The Horned Rat Expansion","3","5","90","90","90","2011","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Charterstone","197376","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720137","6.89892","7.18322","2.8558","612","26695","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Checkers","2083","4","2","0","1","0","0","0","0","0","0","0","3","","","","","","130579248","5.00292","4.94322","1.7073","29378","12359","thing","Checkers","2","2","30","30","30","1150","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Chess","171","7","13","0","1","0","0","0","0","0","0","0","3","","","","","","128738341","7.03173","7.23215","3.6458","455","58730","thing","Chess","2","2","0","0","0","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cities","402676","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","132529402","6.60571","7.3608","1.9231","1062","7357","thing","Cities","2","4","45","45","45","2024","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Clank!: Adventuring Party","308918","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","130524030","6.68959","8.1818","2.32","0","8294","thing","Clank!: Adventuring Party","2","6","120","120","60","2020","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Clank!: Catacombs","365717","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","130524028","7.72158","8.24601","2.502","63","20001","thing","Clank!: Catacombs","2","4","90","90","45","2022","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Clank!: Catacombs – Lairs and Lost Chambers","422869","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","130524026","6.03903","8.30845","2.5","0","3479","thing","Clank!: Catacombs – Lairs and Lost Chambers","2","4","90","90","45","2024","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Clash of Decks: Starter Kit","334307","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109746805","5.7175","6.29586","2.0303","5783","3566","thing","Clash of Decks: Starter Kit","1","2","30","30","15","2020","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Clue: Disney Villains","353426","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","128927938","5.51931","6.60087","0","18932","318","thing","Clue: Disney Villains","3","6","0","0","0","2020","","","","","","","","","","standalone","","","","",""
"Clue: Treachery at Tudor Mansion","369483","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","117123031","5.59996","6.3088","1.4","9092","1412","thing","Clue: Treachery at Tudor Mansion","1","6","90","90","90","2022","1,2,3,4","2,4","6–12","","","","","","","standalone","","","","",""
"Codenames","178900","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109719972","7.4347","7.53033","1.258","158","172109","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Codenames: Disney – Family Edition","220775","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719986","6.1259","6.58788","1.2286","2480","11049","thing","Codenames: Disney – Family Edition","2","8","15","15","15","2017","4,5,6,7,8","6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Codenames: Duet","224037","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719980","7.24022","7.41532","1.3576","267","53391","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Codenames: Harry Potter","249821","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719992","5.85293","6.47776","1.6087","4156","4923","thing","Codenames: Harry Potter","2","2","15","15","15","2018","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Codenames: Pictures","198773","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109719983","7.00274","7.18064","1.2398","484","43705","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Color Brain: Disney Edition","277017","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","109720069","5.57076","6.0258","1","10915","1778","thing","Color Brain: Disney Edition","2","20","20","20","20","2019","2,3,4,5,6,7,8","2","4+","","","","","","","standalone","","","","",""
"Colt Express","158899","5","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995598","6.95399","7.09762","1.8341","544","49858","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Compania","436511","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","136591536","0","6.59091","0","0","24","thing","Compania","1","6","90","90","60","2025","","","","","","","","","","standalone","","","","",""
"Compile: Aux  1","417813","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130453293","5.75922","8.17408","2","0","2214","thing","Compile: Aux  1","2","2","30","30","20","2024","","","","","","","","","","expansion","","","","",""
"Compile: Aux 2","440921","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130453312","0","9","0","0","179","thing","Compile: Aux 2","2","2","30","30","20","2025","","","","","","","","","","expansion","","","","",""
"Compile: Main 1","406652","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130453285","6.65459","7.91236","2.3095","973","6711","thing","Compile: Main 1","2","2","30","30","20","2024","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Compile: Main 2","440606","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130453305","5.54747","8.52537","0","13173","385","thing","Compile: Main 2","2","2","30","30","20","2025","2","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Concordia Venus","256916","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138586","7.57909","8.26001","2.9953","104","11961","thing","Concordia Venus","2","6","120","120","60","2018","2,3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Confusing Lands","342200","9","55","0","1","0","0","0","0","0","0","0","3","","","","","","128472516","5.75025","7.1988","1.5385","5282","1075","thing","Confusing Lands","1","2","10","10","10","2024","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Confusing Lands: Promo Set #1","428602","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","130489828","0","7.75","0","0","87","thing","Confusing Lands: Promo Set #1","1","2","10","10","10","2024","","","","","","","","","","expansion","","","","",""
"Connect Four","2719","5","7","0","1","0","0","0","0","0","0","0","3","","","","","","133681427","5.03682","5.00234","1.1833","29374","15452","thing","Connect Four","2","2","10","10","10","1974","2","2","5+","No necessary in-game text","","","","","","standalone","","","","",""
